"Easting","Northing","N"
555356.6,5649854,11.32
555352.5,5649852,12.47
555348.7,5649851,13.88
555344.7,5649849,26.14
555339.4,5649846,28.19
555333.7,5649854,15.25
555339.9,5649858,9.09
555344.2,5649861,4.78
555349.7,5649863,6.33
555355.4,5649866,14.91
555352.2,5649870,7.29
555347.9,5649869,7.25
555342.9,5649866,5.61
555336.6,5649863,5.55
555331.8,5649861,4.07
555329.1,5649868,4.15
555334.1,5649871,9.62
555338.4,5649874,7.14
555342.6,5649874,7.09
555348.3,5649879,10.72
555346.7,5649885,19.94
555342,5649882,13.65
555336.3,5649879,12.29
555331.5,5649877,10.65
555325.8,5649876,14.14
555324.8,5649886,5.63
555327.8,5649889,7.38
555332.4,5649890,9
555338.1,5649895,10.76
555341.9,5649896,19.27
