"s1","s2","N"
597385.6,5654792,44.78
597399.4,5654789,72.37
597413.8,5654786,82.87
597429,5654781,85.61
597446.6,5654779,40.93
597443.3,5654763,114
597431.5,5654765,75.9
597415.9,5654769,84.98
597400,5654775,49.95
597382.4,5654780,49.58
597381.3,5654758,36.35
597393.8,5654751,70.65
597406.2,5654750,140.22
597421.6,5654746,89.38
597439,5654740,44.82
597435,5654723,23.82
597421,5654728,49.97
597405.1,5654734,79.47
597389.5,5654739,68.29
597372.7,5654743,69.57
597366.9,5654727,54.97
597379.5,5654724,76.15
597392.4,5654720,111.01
597407.9,5654714,59.88
597428.5,5654706,25.43
597419.9,5654681,36.48
597408.4,5654686,35.73
597388.4,5654693,35.1
597375.3,5654698,66.21
597360.5,5654702,64.56
