"x","y","EMv1mt","EMv05mt"
60.6956,41.5347,70.3,148.9
60.69559503,41.53469006,85.8,145.4
60.69558333,41.53466562,83.4,145.4
60.69558333,41.53465286,82.2,145.4
60.69558333,41.53464005,77.4,144.2
60.69557727,41.53462727,70.3,138.2
60.69556667,41.5346145,56,125.1
60.69556667,41.53460174,46.5,115.6
60.69555564,41.53458897,40.5,108.4
60.69555,41.5345762,36.9,107.2
60.69554676,41.53456343,34.6,106
60.69553399,41.53455065,33.4,107.2
60.69553333,41.53453792,31,104.8
60.69553333,41.53452515,31,104.8
60.69552902,41.53451235,29.8,104.8
60.69551667,41.53449958,29.8,104.8
60.69551667,41.53448681,29.8,104.8
60.69550739,41.53447405,28.6,103.7
60.6955,41.53446128,29.8,103.7
60.6955,41.5344485,31,104.8
60.6955,41.53443573,32.2,106
60.69548962,41.53442296,35.7,108.4
60.69548333,41.5344102,36.9,108.4
60.69548333,41.5344,39.3,110.8
60.69547188,41.53437709,42.9,113.2
60.69546667,41.53436667,40.5,112
60.69546667,41.53436302,42.9,112
60.69546667,41.53435024,44.1,112
60.69545414,41.53433747,44.1,113.2
60.69545,41.5343247,42.9,113.2
60.69545,41.53431194,42.9,113.2
60.69544917,41.53429917,45.3,114.4
60.6954364,41.5342864,42.9,112
60.69543333,41.53427362,46.5,115.6
60.69543333,41.53426085,45.3,115.6
60.69543142,41.53424809,45.3,114.4
60.69541865,41.53423532,44.1,113.2
60.69541667,41.53422255,44.1,114.4
60.69541667,41.53420977,45.3,114.4
60.69541667,41.53419702,45.3,114.4
60.69541667,41.53418424,45.3,114.4
60.6954048,41.53417147,42.9,114.4
60.6954,41.5341587,44.1,115.6
60.6954,41.53414594,45.3,115.6
60.69539986,41.53413319,44.1,114.4
60.6953871,41.53412043,45.3,116.8
60.69538333,41.53410764,44.1,114.4
60.69538333,41.53409485,44.1,115.6
60.69538209,41.53408209,45.3,115.6
60.69536933,41.53406933,47.7,119.1
60.69536667,41.53405655,46.5,116.8
60.69536667,41.53404377,45.3,115.6
60.69536434,41.534031,44.1,114.4
60.69535157,41.53401824,45.3,114.4
60.69535,41.53400546,46.5,116.8
60.69535,41.5339927,46.5,116.8
60.69534659,41.53398333,45.3,116.8
60.69533382,41.53398333,45.3,116.8
60.69533333,41.53397106,42.9,115.6
60.69533333,41.53395829,41.7,114.4
60.69532886,41.53394553,42.9,113.2
60.69531667,41.53393274,40.5,113.2
60.69531667,41.53391998,40.5,113.2
60.69531667,41.53390721,40.5,112
60.69531111,41.53389444,40.5,110.8
60.6953,41.53388167,40.5,112
60.6953,41.53386891,40.5,112
60.6953,41.53385614,40.5,113.2
60.69529336,41.53384336,40.5,112
60.69528333,41.53383059,41.7,112
60.69528333,41.53381783,41.7,113.2
60.69528333,41.53380509,45.3,115.6
60.69527564,41.5337923,46.5,116.8
60.69526667,41.53377952,50,119.1
60.69526667,41.53376676,54.8,123.9
60.69526667,41.53375397,60.8,129.9
60.69525788,41.53374121,65.5,133.4
60.69525,41.53372844,67.9,137
60.69525,41.53371564,71.5,140.6
60.69525,41.5337029,67.9,134.6
60.69524014,41.5337,71.5,134.6
60.69523333,41.53369403,70.3,137
60.69523126,41.53368126,72.7,139.4
60.69521852,41.53366852,76.3,143
60.69521667,41.53365576,78.6,145.4
