"ID","original_I","SOM_A_hori","X","Y","plan.curvature","profile.curvature","slope","temperature","precipitation","twi","dem","stratum","RF","KED"
126,401,13.443189,683054,3451560,0.01153,0.000301,2.15917,15.3546,1342.91,11.063,51,1,20.1272950332418,17.6952702574632
127,402,26.73559,707060,3422760,0.027976,-0.000132,1.52791,15.378,1394.65,11.727,50,1,19.562742786391,18.7503049753467
128,403,34.372011,726100,3412280,0.006571,0.000516,7.89553,14.4685,1453.24,6.557,137,1,24.0924453679739,23.1003582758876
130,405,21.799568,728014,3399210,-0.00026,-0.000436,24.3553,13.3776,1525.05,6.233,413,1,45.6562774553534,41.7253770982298
131,406,18.08356,713777,3390850,0.011308,0.000257,3.573,13.8059,1562.07,11.29,314,1,25.2923471786609,36.9585037796923
132,407,18.213152,723829,3427420,-0.014705,4.7e-05,0.975253,15.4778,1350.04,8.892,38,2,14.045546823963,18.0729286061891
133,408,17.023815,707564,3442310,0.004167,0.000138,1.79139,15.5748,1328.78,10.85,18,3,16.2725550834068,16.7799688311622
134,409,19.839016,743323,3422450,-6.4e-05,0.000109,0.548273,15.4161,1344.14,15.682,46,3,17.7923441225893,18.3476329818102
135,410,19.508025,649434,3426390,-0.006667,0.000303,2.38236,15.661,1414.36,7.721,41,3,14.4210071994362,18.4816288331081
136,411,17.826003,659989,3419640,-0.008009,-0.000427,1.52543,15.4792,1437.94,8.011,78,3,16.831508055013,21.0047266524223
137,412,13.486952,661253,3419150,-0.007657,-1.1e-05,0.921926,15.4617,1439.8,8.251,62,3,15.7205073202157,20.1025073188544
138,413,6.086637,679873,3411520,-0.001186,0.000113,5.31124,15.4572,1452.52,7.378,66,3,20.59972073556,20.4661583672907
139,415,27.292909,655593,3408110,-0.000408,-0.000112,1.49128,15.465,1472,8.382,80,3,18.3397474986481,17.3361189457988
140,416,8.152663,672996,3403570,-0.003136,-0.000412,2.73167,15.2819,1486.86,7.426,107,3,22.8728845117571,22.1815300913939
141,417,33.121302,742840,3446610,0.008494,-6.8e-05,7.16874,14.548,1340.21,10.929,153,4,25.1935000333264,23.4764018453764
142,418,63.892645,750394.8081,3446043.648,0.007478,0.000115,11.2561,14.3846,1373.62,6.837,239,4,28.1301658302362,29.3930650043946
143,419,19.764608,663320,3430320,-4.5e-05,0.000104,1.92965,15.1417,1437.61,9.965,61,4,20.8003184161327,19.8908922933904
