"ID","original_I","SOM_A_hori","X","Y","plan.curvature","profile.curvature","slope","temperature","precipitation","twi","dem"
64,301,50.337105,662170.746,3384709.584,-0.005364,0.004231,10.4246,12.7097,1731.12,14.789,396
65,302,27.006214,662889,3394680,0.00538,0.002678,6.58373,14.6226,1561.61,13.033,201
66,304,30.451105,712961,3394760,-0.000813,-0.001014,16.0661,14.071,1539.12,6.748,315
67,305,29.72351,723020,3394610,-0.000536,0.000232,19.8195,12.621,1595.06,7.33,480
68,306,15.649435,732913,3394770,0.00012,0.000887,4.33218,14.2898,1454.14,15.662,133
69,307,16.292612,653053,3405000,-0.003412,-3.3e-05,1.08632,15.4272,1487.56,9.348,77
70,308,27.369635,662960,3404770,0.007423,0.000546,4.17234,15.2532,1495.86,11.091,102
71,309,17.796445,673131,3404770,-0.003578,7.5e-05,0.682021,15.3924,1476.3,8.995,75
72,310,14.642316,682913,3404790,-0.013244,-7.7e-05,0.542082,15.5311,1463,9.433,43
73,311,19.676376,692587,3405120,0.007431,0.000434,3.13691,14.7688,1509.02,12.451,93
74,312,24.492407,702936,3404760,-0.005876,-4.4e-05,2.82357,15.1105,1470.65,7.825,106
75,313,20.79419,712782,3405000,-0.012421,-0.000437,2.79763,14.9783,1470.97,8.24,137
76,314,22.978309,722758,3404610,0.00064,0.000782,13.4024,14.2261,1476.52,8.198,294
77,315,28.306942,733202,3404890,0.014198,0.00106,9.94273,14.518,1450.27,9.566,171
78,316,10.410907,642907,3414860,-0.004107,7.2e-05,0.180395,15.7624,1447.77,10.653,18
79,317,20.705855,652923,3414720,-0.000398,7e-06,0.148284,15.6017,1446.34,9.664,28
80,318,23.992081,664817,3414810,0.006666,0.000246,4.7836,15.4643,1447.14,7.998,60
81,319,25.916456,672935.5724,3414625.705,-0.00687,-0.000236,1.9654,15.4199,1444.92,7.917,35
82,320,7.166112,683127,3414690,-0.003637,-1e-06,0.518868,15.5668,1438.1,9.586,21
83,321,28.996269,692983,3414850,-0.011118,-0.000309,14.1709,14.4398,1514.28,5.852,262
84,322,24.102996,702928,3414800,-0.001588,0.000118,3.18468,15.2511,1437.75,7.5,75
85,323,33.102535,712980,3414800,0.009027,-0.000102,2.67877,15.0588,1426.96,10.425,115
87,325,11.979382,732918,3414790,-0.001081,4e-05,0.243834,15.3043,1374.64,19.391,50
88,326,13.3781,742880,3414800,-0.011938,-0.00011,0.974148,15.3788,1361.64,8.769,61
89,327,16.009914,642977,3424770,-0.00055,0.000157,2.74389,15.6676,1419.31,9.057,27
90,328,15.72033,652733,3424870,-0.006994,-0.000222,1.30924,15.6054,1422.08,8.783,41
91,329,18.705874,662936,3424770,0.009181,0.000174,1.79195,15.4967,1421.27,12.022,52
92,330,15.639783,672875,3424790,0.006802,5.7e-05,0.650407,15.6829,1405.86,11.526,11
93,331,12.247558,682942,3424800,0.004197,1.2e-05,0.526445,15.5643,1406.02,13.5,25
94,332,17.686306,692898,3424740,0.001194,7e-06,0.205895,15.5537,1397.7,19.847,24
95,333,15.695058,703077,3424680,-2.5e-05,4.7e-05,6.14001,15.1898,1413.85,8.066,68
96,334,6.172331,713057.4858,3424899.175,-0.010512,3.4e-05,0.513347,15.4914,1374.18,8.974,25
97,335,24.672014,723057.9694,3424731.968,0.003313,0.000263,1.77226,15.4549,1359.26,9.945,32
98,336,28.570101,732924,3424770,-0.001304,-2.6e-05,0.214268,15.5225,1342.61,9.903,33
99,337,20.683932,743109,3424900,-0.011262,0.000111,1.13264,15.4345,1340.46,9.027,56
100,338,16.689887,652897,3434790,0.015685,1.8e-05,1.46094,15.6059,1392.87,9.274,44
101,339,13.44737,663003,3434910,0.00014,6e-06,2.05496,15.6476,1379.64,8.598,16
